soap (26)
fish (29)
cookware (27)
snack products (30)
cooking chocolate (25)
bathroom cleaner (27)
nuts/prunes (33)
brandy (41)
nut snack (31)
potato products (28)
artif. sweetener (32)
male cosmetics (45)
light bulbs (41)
syrup (32)
canned fruit (32)
rum (44)
meat spreads (42)
skin care (35)
specialty fat (36)
sparkling wine (55)
tea (38)
abrasive cleaner (35)
photo/film (91)
liver loaf (50)
curd cheese (50)
ketchup (42)
spices (51)
cleaner (50)
softener (54)
sauces (54)
zwieback (68)
finished products (64)
liquor (appetizer) (78)
female sanitary products (60)
liquor (109)
liquor,bottled beer (46)
liquor,shopping bags (25)
cereals (56)
cereals,whole milk (36)
jam (53)
jam,whole milk (29)
dental care (57)
kitchen towels (59)
kitchen towels,whole milk (27)
instant coffee (73)
vinegar (64)
vinegar,whole milk (26)
popcorn (71)
popcorn,whole milk (26)
pet care (93)
pet care,whole milk (26)
candles (88)
candles,whole milk (30)
soups (67)
soups,other vegetables (31)
soups,whole milk (29)
dog food (84)
dog food,whole milk (29)
Instant food products (79)
Instant food products,hamburger meat (30)
Instant food products,other vegetables (27)
Instant food products,whole milk (30)
condensed milk (101)
condensed milk,coffee (25)
condensed milk,other vegetables (25)
specialty cheese (84)
specialty cheese,yogurt (28)
specialty cheese,other vegetables (42)
specialty cheese,whole milk (37)
chocolate marshmallow (89)
chocolate marshmallow,whole milk (31)
flower (seeds) (102)
flower (seeds),other vegetables (37)
flower (seeds),whole milk (39)
frozen potato products (83)
frozen potato products,soda (27)
frozen potato products,other vegetables (26)
frozen potato products,whole milk (34)
house keeping products (82)
house keeping products,other vegetables (27)
house keeping products,whole milk (38)
sweet spreads (89)
sweet spreads,soda (25)
sweet spreads,whole milk (35)
turkey (80)
turkey,tropical fruit (26)
turkey,root vegetables (25)
turkey,other vegetables (39)
turkey,whole milk (36)
rice (75)
rice,root vegetables (31)
rice,other vegetables (39)
rice,other vegetables,whole milk (26)
rice,whole milk (46)
spread cheese (110)
spread cheese,soda (31)
spread cheese,yogurt (35)
spread cheese,rolls/buns (41)
spread cheese,other vegetables (30)
spread cheese,whole milk (31)
dish cleaner (103)
dish cleaner,whole milk (29)
cling film/bags (112)
cling film/bags,yogurt (25)
cling film/bags,other vegetables (32)
cling film/bags,whole milk (36)
salt (106)
salt,root vegetables (27)
salt,other vegetables (36)
salt,whole milk (38)
mayonnaise (90)
mayonnaise,root vegetables (25)
mayonnaise,yogurt (27)
mayonnaise,rolls/buns (27)
mayonnaise,other vegetables (35)
mayonnaise,whole milk (33)
frozen dessert (106)
frozen dessert,tropical fruit (26)
frozen dessert,soda (25)
frozen dessert,rolls/buns (29)
frozen dessert,other vegetables (36)
frozen dessert,whole milk (39)
white wine (187)
white wine,shopping bags (33)
white wine,bottled water (39)
white wine,soda (36)
white wine,rolls/buns (26)
white wine,whole milk (26)
packaged fruit/vegetables (128)
packaged fruit/vegetables,bottled water (26)
packaged fruit/vegetables,root vegetables (34)
packaged fruit/vegetables,yogurt (25)
packaged fruit/vegetables,rolls/buns (26)
packaged fruit/vegetables,other vegetables (31)
packaged fruit/vegetables,whole milk (39)
canned vegetables (106)
canned vegetables,tropical fruit (27)
canned vegetables,root vegetables (26)
canned vegetables,soda (30)
canned vegetables,yogurt (30)
canned vegetables,other vegetables (46)
canned vegetables,whole milk (38)
roll products (101)
roll products,root vegetables (31)
roll products,other vegetables (47)
roll products,whole milk (46)
frozen fish (115)
frozen fish,tropical fruit (25)
frozen fish,root vegetables (26)
frozen fish,yogurt (32)
frozen fish,other vegetables (46)
frozen fish,other vegetables,whole milk (27)
frozen fish,whole milk (49)
cake bar (130)
cake bar,shopping bags (29)
cake bar,soda (44)
cake bar,rolls/buns (31)
cake bar,other vegetables (37)
cake bar,whole milk (55)
seasonal products (140)
seasonal products,shopping bags (25)
seasonal products,soda (26)
seasonal products,yogurt (32)
seasonal products,rolls/buns (27)
seasonal products,other vegetables (36)
seasonal products,whole milk (37)
dishes (173)
dishes,napkins (27)
dishes,root vegetables (27)
dishes,yogurt (37)
dishes,rolls/buns (32)
dishes,other vegetables (59)
dishes,other vegetables,whole milk (26)
dishes,whole milk (52)
mustard (118)
mustard,frankfurter (25)
mustard,tropical fruit (26)
mustard,root vegetables (33)
mustard,rolls/buns (42)
mustard,other vegetables (32)
mustard,whole milk (51)
red/blush wine (189)
red/blush wine,canned beer (25)
red/blush wine,bottled beer (48)
red/blush wine,shopping bags (26)
red/blush wine,bottled water (32)
red/blush wine,tropical fruit (25)
red/blush wine,root vegetables (25)
red/blush wine,soda (45)
red/blush wine,rolls/buns (39)
red/blush wine,other vegetables (49)
red/blush wine,whole milk (39)
pot plants (170)
pot plants,fruit/vegetable juice (25)
pot plants,bottled water (25)
pot plants,tropical fruit (30)
pot plants,soda (27)
pot plants,yogurt (38)
pot plants,rolls/buns (28)
pot plants,other vegetables (43)
pot plants,whole milk (68)
chewing gum (207)
chewing gum,shopping bags (32)
chewing gum,bottled water (27)
chewing gum,tropical fruit (25)
chewing gum,soda (53)
chewing gum,rolls/buns (38)
chewing gum,other vegetables (45)
chewing gum,whole milk (50)
canned fish (148)
canned fish,shopping bags (29)
canned fish,root vegetables (26)
canned fish,soda (29)
canned fish,yogurt (32)
canned fish,rolls/buns (40)
canned fish,other vegetables (50)
canned fish,whole milk (47)
pasta (148)
pasta,hamburger meat (27)
pasta,root vegetables (38)
pasta,soda (40)
pasta,yogurt (31)
pasta,other vegetables (42)
pasta,whole milk (60)
herbs (160)
herbs,frozen vegetables (25)
herbs,beef (28)
herbs,butter (27)
herbs,whipped/sour cream (31)
herbs,citrus fruit (29)
herbs,bottled water (30)
herbs,tropical fruit (28)
herbs,root vegetables (69)
herbs,root vegetables,other vegetables (38)
herbs,root vegetables,whole milk (41)
herbs,yogurt (35)
herbs,rolls/buns (30)
herbs,other vegetables (76)
herbs,other vegetables,whole milk (40)
herbs,whole milk (76)
processed cheese (163)
processed cheese,ham (30)
processed cheese,white bread (41)
processed cheese,fruit/vegetable juice (29)
processed cheese,pastry (29)
processed cheese,sausage (33)
processed cheese,tropical fruit (42)
processed cheese,root vegetables (31)
processed cheese,soda (52)
processed cheese,soda,whole milk (25)
processed cheese,yogurt (26)
processed cheese,rolls/buns (46)
processed cheese,other vegetables (54)
processed cheese,other vegetables,whole milk (25)
processed cheese,whole milk (69)
semi-finished bread (174)
semi-finished bread,newspapers (26)
semi-finished bread,pip fruit (27)
semi-finished bread,pastry (32)
semi-finished bread,shopping bags (32)
semi-finished bread,sausage (28)
semi-finished bread,bottled water (25)
semi-finished bread,tropical fruit (42)
semi-finished bread,soda (40)
semi-finished bread,yogurt (35)
semi-finished bread,rolls/buns (34)
semi-finished bread,other vegetables (51)
semi-finished bread,other vegetables,whole milk (26)
semi-finished bread,whole milk (70)
beverages (256)
beverages,fruit/vegetable juice (28)
beverages,pip fruit (28)
beverages,pastry (32)
beverages,shopping bags (30)
beverages,sausage (27)
beverages,bottled water (30)
beverages,tropical fruit (42)
beverages,root vegetables (31)
beverages,soda (47)
beverages,yogurt (54)
beverages,rolls/buns (53)
beverages,other vegetables (51)
beverages,whole milk (67)
ice cream (246)
ice cream,newspapers (29)
ice cream,whipped/sour cream (26)
ice cream,shopping bags (31)
ice cream,bottled water (26)
ice cream,tropical fruit (40)
ice cream,root vegetables (29)
ice cream,soda (60)
ice cream,yogurt (35)
ice cream,rolls/buns (33)
ice cream,other vegetables (50)
ice cream,whole milk (58)
detergent (189)
detergent,frozen vegetables (27)
detergent,pip fruit (25)
detergent,shopping bags (25)
detergent,sausage (25)
detergent,tropical fruit (33)
detergent,root vegetables (43)
detergent,root vegetables,whole milk (27)
detergent,soda (34)
detergent,yogurt (39)
detergent,rolls/buns (30)
detergent,other vegetables (63)
detergent,other vegetables,whole milk (35)
detergent,whole milk (88)
pickled vegetables (176)
pickled vegetables,frozen vegetables (26)
pickled vegetables,frankfurter (27)
pickled vegetables,citrus fruit (30)
pickled vegetables,sausage (30)
pickled vegetables,bottled water (30)
pickled vegetables,tropical fruit (37)
pickled vegetables,root vegetables (40)
pickled vegetables,soda (40)
pickled vegetables,yogurt (37)
pickled vegetables,rolls/buns (42)
pickled vegetables,other vegetables (63)
pickled vegetables,whole milk (70)
baking powder (174)
baking powder,sugar (32)
baking powder,margarine (30)
baking powder,butter (28)
baking powder,domestic eggs (31)
baking powder,whipped/sour cream (45)
baking powder,whipped/sour cream,whole milk (26)
baking powder,pip fruit (25)
baking powder,citrus fruit (34)
baking powder,bottled water (28)
baking powder,tropical fruit (37)
baking powder,root vegetables (35)
baking powder,root vegetables,other vegetables (25)
baking powder,yogurt (45)
baking powder,yogurt,whole milk (32)
baking powder,rolls/buns (35)
baking powder,other vegetables (72)
baking powder,other vegetables,whole milk (43)
baking powder,whole milk (91)
flour (171)
flour,sugar (49)
flour,sugar,whole milk (28)
flour,beef (28)
flour,curd (31)
flour,margarine (37)
flour,domestic eggs (32)
flour,whipped/sour cream (40)
flour,whipped/sour cream,whole milk (25)
